sz,mean,median,mean (ms),median (ms)
428,175847249,175175850,175.847249,175.17585
429,177228687,176872100,177.228687,176.8721
430,177302655,177046650,177.302655,177.04665
431,177748563,177843850,177.748563,177.84385
432,177320732,177021300,177.320732,177.0213
433,177412064,177050600,177.412064,177.0506
434,175414234,174734250,175.414234,174.73425
435,177412794,177290950,177.412794,177.29095
436,177267388,177114650,177.267388,177.11465
437,177361658,177226650,177.361658,177.22665
438,177577470,177144450,177.57747,177.14445
439,177427343,177422700,177.427343,177.4227
440,177583515,177166100,177.583515,177.1661
441,177519976,177307800,177.519976,177.3078
442,176122624,175225400,176.122624,175.2254
443,177222378,176967350,177.222378,176.96735
444,176901814,176528100,176.901814,176.5281
445,176381912,175952400,176.381912,175.9524
446,176931095,176591450,176.931095,176.59145
447,177510243,177036150,177.510243,177.03615
448,176276398,175500000,176.276398,175.5
449,176903153,176581450,176.903153,176.58145
450,177245419,177078600,177.245419,177.0786
451,176770100,176492400,176.7701,176.4924
452,177348112,177123550,177.348112,177.12355
453,176862301,176468450,176.862301,176.46845
454,176589826,175865250,176.589826,175.86525
455,177195343,176734900,177.195343,176.7349
456,177216016,176732450,177.216016,176.73245
457,177021535,176772500,177.021535,176.7725
458,177118452,177046750,177.118452,177.04675
459,177364334,177034100,177.364334,177.0341
460,177226206,177074500,177.226206,177.0745
461,176883291,176355800,176.883291,176.3558
462,177260971,177134600,177.260971,177.1346
463,176971561,176493000,176.971561,176.493
464,177033786,176538650,177.033786,176.53865
465,177476559,177325600,177.476559,177.3256
466,177172718,176847850,177.172718,176.84785
467,176251308,175805000,176.251308,175.805
468,177377879,177169800,177.377879,177.1698
469,177151417,177000400,177.151417,177.0004
470,177176987,176787000,177.176987,176.787
471,176639125,176266100,176.639125,176.2661
472,177004285,176751100,177.004285,176.7511
473,177633588,177686850,177.633588,177.68685
474,176925702,176482800,176.925702,176.4828
475,175383999,175091800,175.383999,175.0918
476,177391349,177097100,177.391349,177.0971
477,177494774,177235900,177.494774,177.2359
478,177611011,177360600,177.611011,177.3606
479,177519524,177541250,177.519524,177.54125
480,177076154,176672900,177.076154,176.6729
481,176853357,176721900,176.853357,176.7219
482,177087622,176888950,177.087622,176.88895
483,176718490,176010700,176.71849,176.0107
484,177066747,177019000,177.066747,177.019
485,177280158,177068700,177.280158,177.0687
486,176978290,176547000,176.97829,176.547
487,177041438,176887500,177.041438,176.8875
488,250450261,250087450,250.450261,250.08745
489,279110435,278763950,279.110435,278.76395
490,278952739,278616750,278.952739,278.61675
491,279302484,278996750,279.302484,278.99675
492,278772278,278493200,278.772278,278.4932
493,279124457,278876500,279.124457,278.8765
494,279461537,278985500,279.461537,278.9855
495,279138331,278641700,279.138331,278.6417
496,279046615,278745500,279.046615,278.7455
497,278701613,278465650,278.701613,278.46565
498,279014072,278688950,279.014072,278.68895
499,278997081,278550000,278.997081,278.55
500,278466035,278278400,278.466035,278.2784
501,279292493,278964000,279.292493,278.964
502,279465312,279032200,279.465312,279.0322
503,278768657,278433800,278.768657,278.4338
504,279346334,278991050,279.346334,278.99105
505,279106711,278827850,279.106711,278.82785
506,278772070,278480650,278.77207,278.48065
507,279357467,278934750,279.357467,278.93475
508,279101951,278841450,279.101951,278.84145
509,278769540,278598450,278.76954,278.59845
510,279264293,278968100,279.264293,278.9681
511,279326532,278939450,279.326532,278.93945
512,279366032,278954550,279.366032,278.95455
